Year,Age of Spouse,Age of Spouse,Marriages
2015,16-19,35-39,9
2015,16-19,40-44,1
2015,16-19,45-49,0
2015,16-19,50+,2
2015,16-19,N.S./N.P.,0
2015,20-24,16-19,437
2015,20-24,20-24,6702
2015,20-24,25-29,4411
2015,20-24,30-34,960
2015,20-24,35-39,218
2015,20-24,40-44,53
2015,20-24,45-49,24
2015,20-24,50+,22
2015,20-24,N.S./N.P.,0
2015,25-29,16-19,127
2015,25-29,20-24,4411
2015,25-29,25-29,24142
2015,25-29,30-34,8649
2015,25-29,35-39,1627
2015,25-29,40-44,415
2015,25-29,45-49,141
2015,25-29,50+,68
2015,25-29,N.S./N.P.,0
2015,30-34,16-19,27
2015,30-34,20-24,960
2015,30-34,25-29,8649
2015,30-34,30-34,13692
2015,30-34,35-39,4148
2015,30-34,40-44,1165
2015,30-34,45-49,343
2015,30-34,50+,185
2015,30-34,N.S./N.P.,0
2015,35-39,16-19,9
2015,35-39,20-24,218
2015,35-39,25-29,1627
2015,35-39,30-34,4148
2015,35-39,35-39,4310
2015,35-39,40-44,1870
2015,35-39,45-49,690
2015,35-39,50+,396
2015,35-39,N.S./N.P.,0
2015,40-44,16-19,1
2015,40-44,20-24,53
2015,40-44,25-29,415
2015,40-44,30-34,1165
2015,40-44,35-39,1870
2015,40-44,40-44,2136
2015,40-44,45-49,1193
2015,40-44,50+,827
2015,40-44,N.S./N.P.,0
2015,45-49,16-19,0
2015,45-49,20-24,24
2015,45-49,25-29,141
2015,45-49,30-34,343
2015,45-49,35-39,690
2015,45-49,40-44,1193
2015,45-49,45-49,1722
2015,45-49,50+,1713
2015,45-49,N.S./N.P.,0
2015,50+,16-19,2
2015,50+,20-24,22
2015,50+,25-29,68
2015,50+,30-34,185
2015,50+,35-39,396
2015,50+,40-44,827
2015,50+,45-49,1713
2015,50+,50+,9722
2015,50+,N.S./N.P.,0
2015,N.S./N.P.,16-19,0
2015,N.S./N.P.,20-24,0
2015,N.S./N.P.,25-29,0
2015,N.S./N.P.,30-34,0
2015,N.S./N.P.,35-39,0
2015,N.S./N.P.,40-44,0
2015,N.S./N.P.,45-49,0
2015,N.S./N.P.,50+,0
2015,N.S./N.P.,N.S./N.P.,0
2016,16-19,16-19,134
2016,16-19,20-24,392
2016,16-19,25-29,92
2016,16-19,30-34,25
2016,16-19,35-39,7
2016,16-19,40-44,4
2016,16-19,45-49,3
2016,16-19,50+,0
2016,16-19,N.S./N.P.,0
2016,20-24,16-19,392
2016,20-24,20-24,6524
2016,20-24,25-29,4265
2016,20-24,30-34,898
2016,20-24,35-39,182
2016,20-24,40-44,63
2016,20-24,45-49,26
2016,20-24,50+,13
2016,20-24,N.S./N.P.,0
2016,25-29,16-19,92
2016,25-29,20-24,4265
2016,25-29,25-29,24918
2016,25-29,30-34,8717
2016,25-29,35-39,1709
2016,25-29,40-44,355
2016,25-29,45-49,126
2016,25-29,50+,81
2016,25-29,N.S./N.P.,0
2016,30-34,16-19,25
2016,30-34,20-24,898
2016,30-34,25-29,8717
2016,30-34,30-34,14352
2016,30-34,35-39,4394
2016,30-34,40-44,1137
2016,30-34,45-49,377
2016,30-34,50+,180
2016,30-34,N.S./N.P.,0
2016,35-39,16-19,7
2016,35-39,20-24,182
2016,35-39,25-29,1709
2016,35-39,30-34,4394
2016,35-39,35-39,4220
2016,35-39,40-44,1787
2016,35-39,45-49,691
2016,35-39,50+,393
2016,35-39,N.S./N.P.,0
2016,40-44,16-19,4
2016,40-44,20-24,63
2016,40-44,25-29,355
2016,40-44,30-34,1137
2016,40-44,35-39,1787
2016,40-44,40-44,2196
2016,40-44,45-49,1154
2016,40-44,50+,884
2016,40-44,N.S./N.P.,0
2016,45-49,16-19,3
2016,45-49,20-24,26
2016,45-49,25-29,126
2016,45-49,30-34,377
2016,45-49,35-39,691
2016,45-49,40-44,1154
2016,45-49,45-49,1682
2016,45-49,50+,1799
2016,45-49,N.S./N.P.,0
2016,50+,16-19,0
2016,50+,20-24,13
2016,50+,25-29,81
2016,50+,30-34,180
2016,50+,35-39,393
2016,50+,40-44,884
2016,50+,45-49,1799
2016,50+,50+,9834
2016,50+,N.S./N.P.,0
2016,N.S./N.P.,16-19,0
2016,N.S./N.P.,20-24,0
2016,N.S./N.P.,25-29,0
2016,N.S./N.P.,30-34,0
2016,N.S./N.P.,35-39,0
2016,N.S./N.P.,40-44,0
2016,N.S./N.P.,45-49,0
2016,N.S./N.P.,50+,0
2016,N.S./N.P.,N.S./N.P.,0
